user_id,marketing_channel,variant,language_displayed,language_preferred,is_correct_lang,Segment,converted_flag,retained_flag,prob_retention,expected_profit,cost_per_user,ltv_reference,recommended_action,strategy_rationale,max_incentive,expected_profit_no_action,incremental_profit
a100000781,House Ads,personalization,English,English,Yes,High Value,0,1,1.0,43.10157790927022,1.0,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,42.09916991912109
a100000829,House Ads,personalization,English,English,Yes,High Value,0,0,1.0,43.10157790927022,1.0,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,42.09916991912109
a100000813,House Ads,personalization,English,English,Yes,High Value,0,1,1.0,43.10157790927022,1.0,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,42.09916991912109
a100000797,House Ads,personalization,English,English,Yes,High Value,0,1,1.0,43.10157790927022,1.0,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,42.09916991912109
a100000882,House Ads,personalization,English,English,Yes,High Value,0,1,1.0,43.10157790927022,1.0,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,42.09916991912109
a100000882,House Ads,personalization,English,English,Yes,High Value,0,1,1.0,43.10157790927022,1.0,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,42.09916991912109
a100000053,House Ads,personalization,English,English,Yes,High Value,0,1,1.0,43.10157790927022,1.0,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,42.09916991912109
a100000973,House Ads,personalization,English,English,Yes,High Value,0,1,1.0,43.10157790927022,1.0,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,42.09916991912109
a100000866,House Ads,personalization,English,English,Yes,High Value,0,1,1.0,43.10157790927022,1.0,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,42.09916991912109
a100000785,Facebook,personalization,English,English,Yes,High Value,0,1,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
a100001348,Facebook,control,English,English,Yes,High Value,0,0,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
a100001252,Facebook,control,English,English,Yes,High Value,0,1,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
a100001300,Facebook,control,English,English,Yes,High Value,0,1,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
a100001372,Facebook,control,English,English,Yes,High Value,0,1,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
a100001108,Facebook,control,English,English,Yes,High Value,0,1,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
a100002164,Facebook,control,English,English,Yes,High Value,0,1,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
a100001060,Facebook,control,English,English,Yes,High Value,0,1,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
a100001132,Facebook,control,English,English,Yes,High Value,0,1,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
a100001204,Facebook,control,English,English,Yes,High Value,0,0,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
a100001324,Facebook,control,English,English,Yes,High Value,0,1,1.0,42.901577909270216,1.2,44.10157790927022,Loyalty Campaign,High-value customers - maintain engagement and reduce churn.,15.0,1.0024079901491312,41.899169919121086
